1;Perfume;Sullivan, Ballard and Bates;Beauty;68.47;125.66;true;2024-08-30
2;Lotion;Ware-Pope;Beauty;265.29;630.77;true;2025-11-04
3;Football;Jones, Berry and Adams;Sports;254.92;503.64;true;2025-02-20
4;Sofa;Willis, Garcia and Schaefer;Home;112.95;216.98;true;2025-11-30
5;Jacket;Carrillo, Shelton and Goodman;Clothing;168.2;224.1;true;2025-08-18
6;Yoga Mat;Ramirez, Osborn and Clarke;Sports;248.47;576.91;true;2024-06-19
7;T-Shirt;Hunter, Johnson and Singh;Clothing;121.2;318.85;true;2025-09-23
8;Table;Smith-Campbell;Home;63.72;134.86;true;2025-05-10
9;Smartphone;Clark, Colon and Hampton;Electronics;45.43;81.75;true;2024-10-28
10;Perfume;Anderson Ltd;Beauty;183.85;391.22;true;2024-05-24
11;Yoga Mat;Scott, James and Anderson;Sports;52.94;157.93;true;2024-04-06
12;Curtains;Willis, Michael and Ferguson;Home;104.23;280.47;true;2025-04-02
13;Yoga Mat;Camacho, Garcia and Gilbert;Sports;145.09;178.45;true;2025-01-28
14;Tablet;Perez-Smith;Electronics;177.19;466.75;true;2025-05-08
15;Smartwatch;Cohen Group;Electronics;145.0;426.41;true;2025-06-07
16;Bicycle;Taylor and Sons;Sports;72.13;93.22;true;2025-08-01
17;Bicycle;Warner, Torres and Jimenez;Sports;233.51;440.01;true;2024-04-18
18;T-Shirt;Martin, Sanders and Murray;Clothing;173.91;427.98;true;2024-12-16
19;Cream;Brown-Palmer;Beauty;128.54;249.8;true;2024-12-14
20;Bicycle;Stout and Sons;Sports;276.55;766.34;true;2024-05-11
21;Laptop;Day, Banks and Brown;Electronics;158.01;349.14;false;2025-04-07
22;Lotion;Jones-Boyd;Beauty;116.16;339.42;true;2024-09-20
23;Yoga Mat;Archer and Sons;Sports;166.15;401.51;true;2025-05-07
24;Curtains;Johnston-Wood;Home;147.83;432.14;true;2024-07-24
25;Table;Petty, Greene and Compton;Home;282.74;839.19;true;2025-11-21
26;Sneakers;Johnson-Shelton;Clothing;98.53;180.1;false;2024-12-24
27;Lamp;Wallace, Adams and Hampton;Home;40.95;99.01;true;2024-09-21
28;Cream;Weaver, Maddox and Chase;Beauty;286.61;759.03;true;2025-09-01
29;Chair;Moore-Foster;Home;107.18;213.96;true;2024-03-10
30;Perfume;Brown, Beard and Butler;Beauty;64.61;140.17;false;2024-09-19
31;Table;Smith Group;Home;37.22;94.3;true;2024-08-05
32;Smartwatch;Oconnor-Cohen;Electronics;71.57;115.88;true;2024-10-06
33;Sofa;Rivera-Wade;Home;34.66;89.68;true;2024-12-30
34;Tennis Racket;Morris-Walton;Sports;125.04;360.5;true;2024-09-01
35;Perfume;Bell-Esparza;Beauty;227.99;391.47;true;2024-04-17
36;Smartphone;Jordan-Smith;Electronics;197.43;319.44;true;2024-01-21
37;Laptop;Griffin, Meyer and Lamb;Electronics;128.28;347.34;false;2025-07-26
38;Tablet;Carter Inc;Electronics;237.45;364.57;true;2024-08-31
39;Chair;Reyes-Scott;Home;7.73;17.18;true;2024-02-29
40;Lamp;Snow LLC;Home;139.03;327.33;true;2024-06-21
41;Hat;Chapman, Kennedy and Phillips;Clothing;143.07;221.34;true;2024-03-28
42;Sneakers;Harris Group;Clothing;196.24;489.32;true;2025-10-10
43;Lamp;Smith-Rowe;Home;172.5;442.14;true;2025-08-16
44;Makeup Kit;Camacho-Cross;Beauty;157.01;212.93;true;2024-11-08
45;Jeans;Russell Inc;Clothing;145.85;420.7;true;2025-09-18
46;Perfume;Patrick-Adams;Beauty;136.79;229.89;true;2025-10-13
47;Bicycle;Day, Brown and Williams;Sports;8.37;19.89;true;2025-05-04
48;Smartphone;Williams, Carr and Nichols;Electronics;142.29;211.65;true;2024-01-05
49;Chair;Frank, Ramirez and Jones;Home;193.42;559.59;true;2024-06-27
50;Jeans;Smith, Carrillo and Little;Clothing;287.42;592.29;true;2025-08-07
51;Yoga Mat;Carlson-Parrish;Sports;127.67;279.42;true;2025-10-16
52;Tennis Racket;Rich, Taylor and Nelson;Sports;229.75;557.06;true;2025-12-06
53;Smartwatch;Adams, Clark and Price;Electronics;136.79;337.43;true;2024-06-28
54;Football;Evans Inc;Sports;23.22;50.75;true;2024-11-17
55;Bicycle;Molina-Gray;Sports;49.21;88.12;true;2025-05-02
56;Laptop;Travis-Beltran;Electronics;216.49;450.28;true;2023-12-24
57;Shampoo;Jimenez-Fowler;Beauty;138.76;294.7;true;2024-05-24
58;Smartwatch;Rhodes-Beasley;Electronics;141.4;375.06;true;2025-02-13
59;Cream;Juarez, Williams and Barrett;Beauty;245.85;625.06;true;2024-10-24
60;Tablet;Love LLC;Electronics;106.64;140.21;false;2024-06-28
61;Tablet;Wiggins, Gates and Solis;Electronics;14.36;27.8;true;2025-11-21
62;Cream;Pruitt-Burke;Beauty;297.89;562.55;true;2025-06-23
63;Makeup Kit;Meyer-Bishop;Beauty;28.67;84.16;true;2025-09-10
64;Jacket;Lee-Collins;Clothing;40.0;119.48;true;2024-01-12
65;Jeans;Elliott Group;Clothing;251.27;643.53;false;2025-04-13
66;Lotion;Mitchell-Kim;Beauty;130.12;244.98;true;2024-09-04
67;Cream;Sosa-Wilson;Beauty;50.76;78.13;true;2024-07-26
68;Smartphone;Lam, Rojas and Holder;Electronics;243.8;476.54;true;2025-04-29
69;Laptop;Moore, Smith and Boyd;Electronics;65.79;90.9;true;2025-05-26
70;Football;Flores, Davidson and Russo;Sports;77.2;98.79;true;2025-05-06
71;Tennis Racket;Rodriguez-Fisher;Sports;227.54;590.9;true;2024-06-09
72;Table;Jackson Group;Home;245.66;618.26;true;2024-01-05
73;Yoga Mat;Ward, Dunn and Moran;Sports;74.89;207.99;false;2025-06-19
74;Tennis Racket;Stevens Group;Sports;127.0;215.3;true;2024-07-14
75;Tennis Racket;Clark, Sweeney and Ramos;Sports;189.67;373.45;true;2025-05-08
76;Sofa;Powell-Bridges;Home;236.81;420.04;true;2024-05-18
77;Jacket;Melendez, Miller and Davis;Clothing;116.06;296.88;true;2025-07-29
78;Jacket;Harrison PLC;Clothing;257.97;376.59;true;2024-04-01
79;Smartwatch;Mercado LLC;Electronics;126.74;247.11;true;2025-08-05
80;Perfume;Edwards, Dean and Wheeler;Beauty;80.22;143.95;true;2023-12-31
81;Cream;Reilly-Young;Beauty;32.28;80.84;true;2024-11-14
82;Sofa;Robinson Group;Home;203.73;465.58;true;2024-03-10
83;Hat;Shaw, Riley and Hooper;Clothing;218.67;482.37;true;2025-09-20
84;Lamp;Ruiz PLC;Home;287.32;352.71;false;2024-01-24
85;Tablet;Hess, Hines and Patterson;Electronics;274.76;673.75;true;2025-08-07
86;Perfume;Weaver, Little and Brown;Beauty;167.86;435.75;true;2025-09-23
87;Yoga Mat;Patrick-Joyce;Sports;95.98;177.31;true;2025-02-10
88;Shampoo;Green, Burton and Wallace;Beauty;241.83;604.66;true;2024-12-10
89;Table;Harris-Warren;Home;114.36;222.44;true;2025-12-05
